question_id,skill,cefr_level,question_text,audio_url,passage,choice_a,choice_b,choice_c,choice_d,correct_choice,band_low,band_high,band_range
1,grammar,A1,"What is the plural of ""cat""?",,,cats,cat,cates,catses,A,0.85,0.95,0.85-0.95
2,grammar,A2,Choose the correct preposition: He is good ___ football.,,,at,in,on,for,A,0.7,0.85,0.70-0.85
5,reading,C1,"According to the passage, what prompted the policy change?",,The government revised the policy after widespread public protests and expert reports highlighted critical flaws in its implementation.,Economic concerns,Public protests test,Scientific evidence,International pressure,B,0.25,0.4,0.25-0.40
6,reading,C2,What is the author’s primary criticism of modern art?,,"The author argues that much of modern art has become self-referential and disconnected from broader cultural narratives, losing its capacity to engage a general audience.",Too traditional,Overly commercial,Self-referential focus,Lack of technique,C,0.1,0.25,0.10-0.25
8,grammar,A1,Choose the correct article: ___ apple is red.,,,An,A,The,No article,A,0.85,0.95,0.85-0.95
10,grammar,A2,"Which is the past tense of ""go""?",,,goed,went,gone,goes,B,0.7,0.85,0.70-0.85
11,grammar,B1,"Complete with the correct form: If I _____ more money, I would travel.",,,have,had,will have,haved,B,0.55,0.7,0.55-0.70
12,grammar,B1,Choose the correct relative pronoun: The book _____ I read was exciting.,,,who,which,that,whom,C,0.55,0.7,0.55-0.70
13,grammar,B2,Fill in the blank with the correct conditional: She would have come if she _____ earlier.,,,arrived,had arrived,has arrived,would arrive,B,0.4,0.55,0.40-0.55
14,grammar,B2,Choose the correct passive form: The cake _____ by my mother yesterday.,,,was baked,is baked,baked,had baked,A,0.4,0.55,0.40-0.55
15,grammar,C1,"Select the correct inversion: Not only _____ she talented, but she also works hard.",,,is,she is,does,she does,A,0.25,0.4,0.25-0.40
16,grammar,C1,Choose the correct modal perfect: You _____ have told me earlier!,,,should,should have,should had,should have been,B,0.25,0.4,0.25-0.40
17,grammar,C2,Which sentence uses the subjunctive correctly?,,,I suggest that he studies harder.,I suggest that he study harder.,I suggest that he studied harder.,I suggest that he will study harder.,B,0.1,0.25,0.10-0.25
18,grammar,C2,Choose the idiomatic expression: She has a good _____ for languages.,,,ear,hearing,mind,taste,A,0.1,0.25,0.10-0.25
194998,grammar,C2,I can reassure you that everything _______ as quickly as possible.,,,will be dealt,will deal,will deal with,will be dealt with,D,0.1,0.25,0.10-0.25
194999,grammar,C2,I can reassure you that everything _______ as quickly as possible.,,,will be dealt,will deal,will deal with,will be dealt with,D,0.1,0.25,0.10-0.25
195000,grammar,B1,You look different ___ your father.,,,as,from,unlike,,B,0.55,0.7,0.55-0.70
195001,reading,A2,The Weather Office provides a forecast for ___ days.,,"Mountain Area forecast
Mountains can be dangerous places. The weather can change from one hour to the next, and from one peak to the next. Always check the weather forecast before you go out.  

Brecon Beacons National Park
Tuesday 4 April
There will be mist and fog in the valleys early on, but this will lift in the morning. It will be a dry day with some sunny spells, especially in the north, where it will feel warm. It will remain cloudy in the south and west. Cloud will get thicker in the afternoon, and there will be a chance of rain in the west in the late afternoon.

Visibility
Generally good, but poor in hill fog.  May turn poor in the west in the late afternoon.

Hill fog
Some hill fog above 300 metres at first. This will lift, but will remain at 600 metres in the morning, and around the peaks in the afternoon and evening.

Wed 5 April
Weather
A much windier day, and it will feel cold high up, where temperatures will be low. A bright start, with some sunshine and showers, but showers will increase in the afternoon, and there may be some hail and thunder. Snow showers possible above 800m.

Visibility
Generally good, but moderate in showers.

Hill fog
None expected.

Outlook
Thu 6 April
Very windy with gales possible in the north and north east. Cloudy with rain or drizzle and hill fog. Some bright spells later, but showers continuing through the afternoon.

Fri 7 April
Overcast at first with areas of hill fog, and also occasional light rain or drizzle. It will gradually become drier and warmer, but will remain cloudy. Light southeasterly breezes.

Sat 8 April
A bright day, with the best of the sunshine in the east. It will probably turn cloudier with a gentle southeasterly breeze, but should remain warm and dry.",2,3,4,,C,0.7,0.85,0.70-0.85
195002,reading,A1,Who can audition for the play Puss in Boots?,,"Lockwood Amateur Dramatic Society

This winter we will be performing ‘Puss in Boots’.
If you’d like to be on the stage, please come to our auditions on Saturday 8th September. Children: 10-12 am; Adults 2-5pm in the main hall.
No acting experience necessary!
Rehearsals will be on Friday nights 7-9pm in the main hall (7-8pm for children) and Wednesdays 7-9pm in the Blue Room.
Dress rehearsal: 3rd December
Performances: 5-7th December'",Only adults with experience,"Children and adults, even without acting experience",Only students in drama clubs,,B,0.85,0.95,0.85-0.95
195003,reading,C1,"In the second paragraph, why does the character mention the ‘romantic novels where the entrapped heroine finds her freedom and salvation through music?",,"Piano Practice

I glare at the piano keys, a lump of fetid anger in my chest, bile in my lungs.   Naturally mother had won. Had it been worth the fight? Now I am incarcerated in this airless room, curtains shutting out the summer sunshine, and I’m supposed to blot out the birdsong with my discordant and clumsy attempts at harmony.

Music is the food of love, they say. Music will set you free, they sang. Remember those romantic novels where the entrapped heroine finds her freedom and salvation through music?How her soaring voice allowed her to escape the claustrophobic confines of her disagreeable existence? Where was that freedom now? All I can see is this grid of horizontal and vertical lines mocking me like the bars on a prison cell. And a prison warden who barks at me from beyond the grave:  Be quiet, now.  You may play loudly now. See the discreet ‘3’ above the semiquaver A flat, demanding that I play the note with the third finger, the third!  How dare that bearded, long-dead German enforce upon me how I play this note?  I will not use my finger, you fusty old man!  I will play it with my thumb!  No, I will bash it with my fist. I can head butt it with impassioned fury if so I choose!

The crow in the kitchen screeches over the sound of the clattering dishes. Why aren’t you playing? And so I clench my muscles, take a deep breath and hammer out that lullaby, as if inviting all the hordes of hell to descend upon the baby’s cradle.",Because she envies the heroinesโ€ musical talent,Because she feels in a similar position to these heroines,Because the heroineโ€s experiences contrast strongly with her own,Because she wishes that music will give her a similar sense of freedom,C,0.25,0.4,0.25-0.40
195004,reading,A2,choose the correct answer.,,"Diving Lessons for Beginners
Learners must be able to swim one length of the pool.
Mondays and Thursdays at 6pm
Contact Mark at 4856993 for more information.",New members will be taught how to swim.,The diving lessons take place once a week.,You don't need diving experience to join these classes.,,C,0.7,0.85,0.70-0.85
195005,grammar,A2,Don't look at ____. You will hurt your eyes!,,,the sun,sun,a sun,,A,0.7,0.85,0.70-0.85
195006,grammar,B2,I expect Anna will be tired when she arrives. She ____ for over 20 hours.,,,will be travelling,will travel,will have been travelling,,C,0.4,0.55,0.40-0.55
195007,grammar,A1,Where’s my jacket?,,,Here is it.,It’s here.,It’s over there.,,A,0.85,0.95,0.85-0.95
